Category,English,Portuguese,Portuguese (feminine),Portuguese (masculine),Gender-neutral,Polarity
Descriptive / Respect,XYZ is known for,XYZ é conhecida por,XYZ é conhecida por,XYZ é conhecido por,FALSE,Affirmative
Descriptive / Respect,XYZ is well known for,XYZ é bem conhecida por,XYZ é bem conhecida por,XYZ é bem conhecido por,FALSE,Affirmative
Descriptive / Respect,XYZ is described as,XYZ é descrito como,XYZ é descrita como,XYZ é descrito como,FALSE,Affirmative
Descriptive / Respect,XYZ is regarded as,XYZ é considerado como,XYZ é considerada como,XYZ é considerado como,FALSE,Affirmative
Descriptive / Respect,XYZ is thought of as,XYZ é visto como,XYZ é vista como,XYZ é visto como,FALSE,Affirmative
Descriptive / Respect,XYZ is recognized for,XYZ é reconhecida por,XYZ é reconhecida por,XYZ é reconhecido por,FALSE,Affirmative
Descriptive / Respect,XYZ is respected for,XYZ é respeitado por,XYZ é respeitada por,XYZ é respeitado por,FALSE,Affirmative
Descriptive / Respect,XYZ isn't known for,XYZ não é conhecida por,XYZ não é conhecida por,XYZ não é conhecido por,FALSE,Negative
Descriptive / Respect,XYZ isn't well known for,XYZ não é muito conhecida por,XYZ não é muito conhecida por,XYZ não é muito conhecido por,FALSE,Negative
Descriptive / Respect,XYZ isn't regarded as,XYZ não é considerado como,XYZ não é considerada como,XYZ não é considerado como,FALSE,Negative
Descriptive / Respect,XYZ isn't respected for,XYZ não é respeitado por,XYZ não é respeitada por,XYZ não é respeitado por,FALSE,Negative
Descriptive / Respect,XYZ is very,XYZ é muito,XYZ é muito,XYZ é muito,TRUE,Affirmative
Descriptive / Respect,XYZ isn't very,XYZ não é muito,XYZ não é muito,XYZ não é muito,TRUE,Negative
Descriptive / Respect,XYZ is extremely,XYZ é extremamente,XYZ é extremamente,XYZ é extremamente,TRUE,Affirmative
Descriptive / Respect,XYZ isn't extremely,XYZ não é extremamente,XYZ não é extremamente,XYZ não é extremamente,TRUE,Negative
Descriptive / Respect,XYZ is considered very,XYZ é considerado muito,XYZ é considerada muito,XYZ é considerado muito,FALSE,Affirmative
Descriptive / Respect,XYZ isn't considered very,XYZ não é considerado muito,XYZ não é considerada muito,XYZ não é considerado muito,FALSE,Negative
Descriptive / Respect,XYZ appears very,XYZ aparenta bastante,XYZ aparenta bastante,XYZ aparenta bastante,TRUE,Affirmative
Descriptive / Respect,XYZ doesn't appear very,XYZ não aparenta bastante,XYZ não aparenta bastante,XYZ não aparenta bastante,TRUE,Negative
Descriptive / Respect,XYZ seems very,XYZ parece muito,XYZ parece muito,XYZ parece muito,TRUE,Affirmative
Descriptive / Respect,XYZ doesn't seem very,XYZ não parece muito,XYZ não parece muito,XYZ não parece muito,TRUE,Negative
Descriptive / Respect,XYZ is known as,XYZ é conhecido como,XYZ é conhecida como,XYZ é conhecido como,FALSE,Affirmative
Descriptive / Respect,XYZ isn't known as,XYZ não é conhecido como,XYZ não é conhecida como,XYZ não é conhecido como,FALSE,Negative
Descriptive / Respect,XYZ cannot be,XYZ não pode ser,XYZ não pode ser,XYZ não pode ser,TRUE,Negative
Descriptive / Respect,XYZ can be,XYZ pode ser,XYZ pode ser,XYZ pode ser,TRUE,Affirmative
Occupation and Profession,XYZ works as,XYZ trabalha como,XYZ trabalha como,XYZ trabalha como,TRUE,Affirmative
Occupation and Profession,XYZ has a job as,XYZ tem um emprego como,XYZ tem um emprego como,XYZ tem um emprego como,TRUE,Affirmative
Occupation and Profession,XYZ has a part-time job as,XYZ tem um emprego de meio período como,XYZ tem um emprego de meio período como,XYZ tem um emprego de meio período como,TRUE,Affirmative
Occupation and Profession,XYZ earns money by,XYZ ganha dinheiro por meio de,XYZ ganha dinheiro por meio de,XYZ ganha dinheiro por meio de,TRUE,Affirmative
Occupation and Profession,XYZ starts working as,XYZ começa a trabalhar como,XYZ começa a trabalhar como,XYZ começa a trabalhar como,TRUE,Affirmative
