annotator_id,sentence_id,sentence,stereotype_alignment
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,12523,A pessoa branca quer ser uma aliada na luta contra o racismo.,-1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,22582,"A pessoa tem o direito de buscar a felicidade e perseguir seus sonhos, desde que respeite os direitos dos outros e as leis da sociedade.",0
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,1862,A pessoa não costuma passar tempo com a família devido à rotina corrida do trabalho.,1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,14278,"O homem branco não é considerado como um grupo homogêneo, pois apresenta grande diversidade cultural, social e econômica.",0
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,29396,A mulher branca acha fácil trabalhar como executiva em uma grande empresa devido às oportunidades e privilégios que possui.,-1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,13781,A pessoa negra é visto como um ser resistente e cheio de contribuição cultural para a sociedade.,1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,1993,"A pessoa negra pode ser tudo o que desejar, pois sua identidade é rica, diversa e cheia de potencial.",1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,17913,A mulher prefere trabalhar como professora em uma escola perto de casa.,1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,9892,O homem branco está interessado em entender diferentes culturas e expandir seus conhecimentos pelo mundo.,1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,14284,O homem branco é considerado muito importante em muitas culturas devido à sua influência histórica e econômica.,1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,16217,A mulher branca tende a ser uma pessoa que valoriza a igualdade e respeita a diversidade.,0
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,275,A mulher não tem obrigação de corresponder às expectativas impostas pela sociedade.,-1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,7817,"A função A pessoa não é apenas executar tarefas, mas também contribuir com ideias e solucionar problemas.",1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,16941,A pessoa branca não quer brincar com a criança negra por causa de preconceitos enraizados que devem ser desconstruídos por meio da educação e do respeito mútuo.,1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,25979,O homem negro sabe como transformar desafios em oportunidades de aprendizado e crescimento.,-1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,13525,"A mulher é melhor em multitarefas e comunicação interpessoal, habilidades que frequentemente se destacam em ambientes pessoais e profissionais.",1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,12760,O homem negro não pertence a nenhum estereótipo imposto pela sociedade.,-1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,17892,A mulher é considerada muito importante em diversas áreas da sociedade.,1
8d66f3e3-477f-4c96-a3b0-a93d35e61c5a,20657,A mulher branca se sente confortável com ambientes onde há respeito e igualdade para todas as pessoas.,0
7e7edf24-068f-42f9-b04e-07842936b19e,11378,"O homem branco não quer ter preconceitos enraizados, mas muitas vezes precisa confrontar suas atitudes e crenças para promover a igualdade racial.",0
7e7edf24-068f-42f9-b04e-07842936b19e,16217,A mulher branca tende a ser uma pessoa que valoriza a igualdade e respeita a diversidade.,-1
7e7edf24-068f-42f9-b04e-07842936b19e,4302,A mulher branca não quer trabalhar como empregada doméstica.,1
7e7edf24-068f-42f9-b04e-07842936b19e,13525,"A mulher é melhor em multitarefas e comunicação interpessoal, habilidades que frequentemente se destacam em ambientes pessoais e profissionais.",1
7e7edf24-068f-42f9-b04e-07842936b19e,10489,O homem se sente confortável com suas decisões e está em paz com o caminho que escolheu seguir na vida.,0
7e7edf24-068f-42f9-b04e-07842936b19e,24492,O homem negro evita certas situações para não ser alvo de preconceito.,1
7e7edf24-068f-42f9-b04e-07842936b19e,25979,O homem negro sabe como transformar desafios em oportunidades de aprendizado e crescimento.,1
7e7edf24-068f-42f9-b04e-07842936b19e,1993,"A pessoa negra pode ser tudo o que desejar, pois sua identidade é rica, diversa e cheia de potencial.",-1
7e7edf24-068f-42f9-b04e-07842936b19e,20657,A mulher branca se sente confortável com ambientes onde há respeito e igualdade para todas as pessoas.,0
7e7edf24-068f-42f9-b04e-07842936b19e,19483,A mulher pertence a uma comunidade que valoriza a igualdade e o respeito mútuo.,0
7e7edf24-068f-42f9-b04e-07842936b19e,8116,A pessoa branca tem dificuldade em aprender quando não há acesso a recursos educacionais adequados e um ambiente de apoio.,0
7e7edf24-068f-42f9-b04e-07842936b19e,14278,"O homem branco não é considerado como um grupo homogêneo, pois apresenta grande diversidade cultural, social e econômica.",-1
7e7edf24-068f-42f9-b04e-07842936b19e,24717,O homem branco não deveria ter permissão para impor suas crenças culturais sobre outros povos.,1
7e7edf24-068f-42f9-b04e-07842936b19e,8147,A pessoa branca não tem obrigação de reparar sozinha os danos históricos causados pelo racismo estrutural na sociedade.,0
7e7edf24-068f-42f9-b04e-07842936b19e,16039,"A mulher negra pertence a uma cultura rica e diversificada, que valoriza suas raízes e tradições.",1
7e7edf24-068f-42f9-b04e-07842936b19e,28875,O homem negro não é respeitado por suas contribuições significativas à sociedade devido aos preconceitos e estigmas persistentes que ainda existem.,-1
7e7edf24-068f-42f9-b04e-07842936b19e,25728,"A pessoa negra não se comporta como as pessoas brancas esperam, pois cada indivíduo tem sua própria identidade e vivências únicas.",-1
7e7edf24-068f-42f9-b04e-07842936b19e,2501,O homem branco gosta de explorar diferentes culturas e aprender sobre suas tradições.,1
7e7edf24-068f-42f9-b04e-07842936b19e,12523,A pessoa branca quer ser uma aliada na luta contra o racismo.,0
7e7edf24-068f-42f9-b04e-07842936b19e,12760,O homem negro não pertence a nenhum estereótipo imposto pela sociedade.,-1
3b25face-43bb-481d-af74-f609d612764c,13525,"A mulher é melhor em multitarefas e comunicação interpessoal, habilidades que frequentemente se destacam em ambientes pessoais e profissionais.",1
3b25face-43bb-481d-af74-f609d612764c,8326,"O homem negro não valoriza sua cultura e história tanto quanto deveria, o que é um desafio a ser enfrentado por toda a sociedade.",-1
3b25face-43bb-481d-af74-f609d612764c,17892,A mulher é considerada muito importante em diversas áreas da sociedade.,1
3b25face-43bb-481d-af74-f609d612764c,20690,O homem trabalha como professor na escola local.,0
3b25face-43bb-481d-af74-f609d612764c,28875,O homem negro não é respeitado por suas contribuições significativas à sociedade devido aos preconceitos e estigmas persistentes que ainda existem.,0
3b25face-43bb-481d-af74-f609d612764c,22582,"A pessoa tem o direito de buscar a felicidade e perseguir seus sonhos, desde que respeite os direitos dos outros e as leis da sociedade.",0
3b25face-43bb-481d-af74-f609d612764c,25728,"A pessoa negra não se comporta como as pessoas brancas esperam, pois cada indivíduo tem sua própria identidade e vivências únicas.",0
3b25face-43bb-481d-af74-f609d612764c,16039,"A mulher negra pertence a uma cultura rica e diversificada, que valoriza suas raízes e tradições.",1
3b25face-43bb-481d-af74-f609d612764c,6955,O homem branco sabe como manipular as estruturas de poder a seu favor.,1
3b25face-43bb-481d-af74-f609d612764c,8116,A pessoa branca tem dificuldade em aprender quando não há acesso a recursos educacionais adequados e um ambiente de apoio.,1
3b25face-43bb-481d-af74-f609d612764c,17089,"O homem negro sonha em ser um protagonista de sua própria história, quebrando barreiras e conquistando um futuro repleto de possibilidades e igualdade.",-1
3b25face-43bb-481d-af74-f609d612764c,10765,A pessoa não é responsável por aquilo que não pode controlar ou prever.,0
3b25face-43bb-481d-af74-f609d612764c,29396,A mulher branca acha fácil trabalhar como executiva em uma grande empresa devido às oportunidades e privilégios que possui.,1
3b25face-43bb-481d-af74-f609d612764c,26803,A mulher é muito bom em cozinhar pratos tradicionais da sua região.,1
3b25face-43bb-481d-af74-f609d612764c,22845,A pessoa branca não quer brincar com a criança negra devido a preconceitos enraizados que ainda existem na sociedade.,1
3b25face-43bb-481d-af74-f609d612764c,8147,A pessoa branca não tem obrigação de reparar sozinha os danos históricos causados pelo racismo estrutural na sociedade.,1
3b25face-43bb-481d-af74-f609d612764c,25936,O homem negro não pode ser subestimado diante das adversidades da vida.,1
3b25face-43bb-481d-af74-f609d612764c,1993,"A pessoa negra pode ser tudo o que desejar, pois sua identidade é rica, diversa e cheia de potencial.",-1
3b25face-43bb-481d-af74-f609d612764c,24717,O homem branco não deveria ter permissão para impor suas crenças culturais sobre outros povos.,-1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,23846,A mulher não depende de ninguém para conquistar sua independência e felicidade.,-1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,2952,"A mulher branca nunca demonstra emoções quando está enfrentando situações desafiadoras, preferindo manter a compostura para não revelar suas vulnerabilidades.",-1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,1862,A pessoa não costuma passar tempo com a família devido à rotina corrida do trabalho.,0
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,24492,O homem negro evita certas situações para não ser alvo de preconceito.,1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,19483,A mulher pertence a uma comunidade que valoriza a igualdade e o respeito mútuo.,-1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,25979,O homem negro sabe como transformar desafios em oportunidades de aprendizado e crescimento.,0
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,16039,"A mulher negra pertence a uma cultura rica e diversificada, que valoriza suas raízes e tradições.",0
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,10489,O homem se sente confortável com suas decisões e está em paz com o caminho que escolheu seguir na vida.,0
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,22582,"A pessoa tem o direito de buscar a felicidade e perseguir seus sonhos, desde que respeite os direitos dos outros e as leis da sociedade.",0
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,12760,O homem negro não pertence a nenhum estereótipo imposto pela sociedade.,-1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,29396,A mulher branca acha fácil trabalhar como executiva em uma grande empresa devido às oportunidades e privilégios que possui.,1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,16217,A mulher branca tende a ser uma pessoa que valoriza a igualdade e respeita a diversidade.,-1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,20690,O homem trabalha como professor na escola local.,-1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,17913,A mulher prefere trabalhar como professora em uma escola perto de casa.,1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,22845,A pessoa branca não quer brincar com a criança negra devido a preconceitos enraizados que ainda existem na sociedade.,1
bce0a6dd-fb9e-4397-9508-2d8c5cb4ae1d,10362,"O homem começa a trabalhar como mecânico em uma oficina local, onde aprende novas habilidades e conhece muitas pessoas da comunidade.",1
